,Compound Score,Date,Negative Score,Neutral Score,Positive Score,Screen Name,Tweet,Tweets Ago
105,0.8271,2018-01-06 19:04:08+00:00,0.0,0.686,0.314,CBS,RT @LivinBiblically: “The truth is it somehow gorgeously straddles both sides...I have had friends come from all different walks of life an…,6
106,-0.7717,2018-01-06 19:03:38+00:00,0.226,0.774,0.0,CBS,RT @instinctcbs: “This is a crime show where at the end you’re not reminded of how miserable things are in the world right now…You feel sat…,7
107,0.0,2018-01-06 00:37:55+00:00,0.0,1.0,0.0,CBS,"RT @startrekcbs: Star Trek has touched the lives of generations of fans, including the cast and writers of #StarTrekDiscovery. What's your…",8
108,0.0,2018-01-06 00:30:53+00:00,0.0,1.0,0.0,CBS,#StrangeAngel has found its leading man! Jack Reynor will star as famed rocket engineer Jack Parsons in the upcomin… https://t.co/sHkSKABGfd,9
109,0.0,2018-01-05 18:30:42+00:00,0.0,1.0,0.0,CBS,"The streak of new episodes continues! Watch new episodes of #MacGyver, #H50 &amp; #BlueBloods tonight starting at 8/7c.… https://t.co/xs2vbVqBJZ",10
110,0.0,2018-01-05 16:05:58+00:00,0.0,1.0,0.0,CBS,"RT @CBSTweet: #CBSRatingsNews: CBS Sweeps Fourth Quarter Ratings in Daytime, Primetime and Late Night for the First Time Since 2009 https:/…",11
111,0.1867,2018-01-04 23:13:02+00:00,0.0,0.89,0.11,CBS,"New year, new episodes! Don't miss all-new episodes of @BigBangTheory, @YoungSheldon, @MomCBS, @LifeInPiecesCBS, an… https://t.co/COf6Qg8Mz1",12
112,-0.296,2018-01-04 14:43:09+00:00,0.121,0.879,0.0,CBS,"Current nominees @LadyGaga, @LittleBigTown, @Pink, Childish Gambino and more will perform live at the #GRAMMYs, Jan… https://t.co/PlLMasNPwD",13
113,0.5423,2018-01-03 20:33:09+00:00,0.0,0.821,0.179,CBS,"RT @startrekcbs: From Airiam to Zefram Cochrane, #StarTrekDiscovery features fascinating new concepts along with classic references. What's…",14
114,-0.5267,2018-01-03 19:51:15+00:00,0.167,0.833,0.0,CBS,Torres and Bishop went undercover as a criminal couple on the latest episode of #NCIS. Catch up now:… https://t.co/1iTEneHyJS,15
115,0.5423,2018-01-03 15:00:05+00:00,0.0,0.857,0.143,CBS,Do you know all the nominees for Artist Of The Year? Get familiar with this year's GRAMMY® Award nominees ahead of… https://t.co/UQa8Mu9PUV,16
116,0.0,2018-01-03 12:00:01+00:00,0.0,1.0,0.0,CBS,"The new year of new episodes continues tonight with all-new episodes of #AmazingRace, #SEALTeam and #CriminalMinds… https://t.co/bwhNhQgsFC",17
117,-0.7692,2018-01-03 00:47:26+00:00,0.267,0.733,0.0,CBS,"RT @BullCBS: Tonight, can #Bull prove that a teen accused of robbing a jewelry store isn't responsible for the crime? Tune in at 9/8c or st…",18
118,0.8516,2018-01-02 22:41:51+00:00,0.0,0.66,0.34,CBS,It's your last chance to choose the pro football player with the best off-the-field talent! Vote now to decide who… https://t.co/6DjwqU0MB9,19
119,0.0,2018-01-02 08:00:03+00:00,0.0,1.0,0.0,CBS,"New year, new episodes -- all week long! It kicks off with an all-new #NCIS, #Bull and #NCISNOLA tonight starting a… https://t.co/bcmAaUQJtf",20
120,0.0,2018-01-01 01:16:12+00:00,0.0,1.0,0.0,CBS,"Due to #NFL football games overrun, revised start times &amp; lineup for Eastern/Central Time Zones Only:
#60Minutes 8:… https://t.co/rqOYbM5j0h",21
121,0.7798,2017-12-31 14:37:05+00:00,0.0,0.736,0.264,CBS,Get ready for football! Stream NFL on CBS today with #CBSAllAccess. Try 1 month FREE with promo code BINGE (not ava… https://t.co/NEntvW7QHd,22
122,0.0,2017-12-30 20:25:20+00:00,0.0,1.0,0.0,CBS,"RT @NoActivityCBS: All season nothing's happened. Now prepare for activity. Stream the #NoActivity season finale Sunday, Dec 31 on CBS All…",23
123,0.3612,2017-12-30 20:24:58+00:00,0.0,0.884,0.116,CBS,RT @startrekcbs: Find out what happens when you boldly go too far. #StarTrekDiscovery continues January 7 on CBS All Access: https://t.co/f…,24
124,0.0857,2017-12-29 16:06:02+00:00,0.144,0.699,0.157,CBS,Stream NC State Wolfpack at Arizona State Sun Devils LIVE today at 3PM ET with a 1-month FREE trial of… https://t.co/8k50thgtip,25
125,0.1511,2017-12-28 20:31:01+00:00,0.096,0.783,0.121,CBS,"In case you missed this star-studded tribute to Carol Burnett's classic comedy series, catch up now! Watch The Caro… https://t.co/wu7BxM9gtm",26
126,0.0,2017-12-28 19:28:22+00:00,0.0,1.0,0.0,CBS,Some of TV's biggest stars saluted @TheNormanLear's impact on television and culture at The 40th Annual Kennedy Cen… https://t.co/E74ChUW1uE,27
127,0.875,2017-12-27 22:45:05+00:00,0.0,0.643,0.357,CBS,The search is on to find the pro football player with the best off-the-field talent. Vote for your favorite player… https://t.co/R0fb5ngJ16,28
128,0.7717,2017-12-27 21:04:10+00:00,0.0,0.705,0.295,CBS,"Celebrate everyone's favorite classic sitcom with Carol Burnett, Vicki Lawrence, and more stars during The Carol Bu… https://t.co/SaiZ9TzBVO",29
129,0.8452,2017-12-27 19:52:02+00:00,0.0,0.663,0.337,CBS,Joy to the world of streaming! Try #CBSAllAccess FREE for 1 month – just use code BINGE by 1/2:… https://t.co/9p1ACnslz6,30
130,0.0,2017-12-27 19:40:34+00:00,0.0,1.0,0.0,CBS,"Music legend Stevie Wonder salutes @LionelRichie while performing his classic hit, ""Easy"" at The 40th Annual Kenned… https://t.co/7TeDeNyhgo",31
131,0.7003,2017-12-27 12:00:01+00:00,0.0,0.766,0.234,CBS,"As the youngest Kennedy Center Honoree in 40 years, @LLCoolJ talks about what motivates him to chase his dreams. Wa… https://t.co/DFY78y99w3",32
132,0.8398,2017-12-27 07:27:33+00:00,0.0,0.64,0.36,CBS,Here's to the 2017 Kennedy Center Honorees! Catch up on an evening of stunning performances and inspiring speeches… https://t.co/jGfANpSCul,33
133,0.8221,2017-12-27 04:00:52+00:00,0.0,0.664,0.336,CBS,This celebration could go all night long! What a great final performance in honor of @LionelRichie. #KCHonors https://t.co/xKLWpKr3v0,34
134,0.0,2017-12-27 03:59:48+00:00,0.0,1.0,0.0,CBS,RT @MarkAPrinceJr: A #LionelRichie tribute is not complete without 🎶All Night Long🎶 😁 #KCHonors,35
135,0.8271,2017-12-27 03:36:01+00:00,0.0,0.58,0.42,CBS,Carmen de Lavallade (@CarmenDances) got emotional during those beautiful performances in her honor. Congratulations… https://t.co/gOCAZpZDpt,36
